[2020-07-15 08:34:17,281] I slot.py | Kiwoom-receiveLoginSlot-0042 I DEBUG    > 로그인 처리결과 ('OP_ERR_NONE', '정상처리')
[2020-07-15 08:34:17,283] I tr.py | Kiwoom-receiveAccountNum-0035 I DEBUG    > 계좌번호: 8138832611
[2020-07-15 08:34:17,813] I slot.py | Kiwoom-receiveMsgSlot-0065 I DEBUG    > 스크린: 1000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-07-15 08:34:17,814] I tr.py | Kiwoom-receiveDeposit-0045 I DEBUG    > 예수금 8277427
[2020-07-15 08:34:17,877] I slot.py | Kiwoom-receiveMsgSlot-0065 I DEBUG    > 스크린: 1000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-07-15 08:34:17,878] I tr.py | Kiwoom-receiveDeposit-0045 I DEBUG    > 예수금 8277427
[2020-07-15 08:34:17,946] I slot.py | Kiwoom-receiveMsgSlot-0065 I DEBUG    > 스크린: 1000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-07-15 08:34:17,947] I tr.py | Kiwoom-receiveTotalBuyMoney-0055 I DEBUG    > 총매입금액: 21600
[2020-07-15 08:34:17,948] I tr.py | Kiwoom-receiveTotalProfitLossMoney-0067 I DEBUG    > 총평가손익금액: -273
[2020-07-15 08:34:17,948] I tr.py | Kiwoom-receiveTotalProfitLossRate-0077 I DEBUG    > 총수익률: -1.26
[2020-07-15 08:34:17,949] I tr.py | Kiwoom-receiveMystock-0108 I DEBUG    > 종목코드: 045060 - 종목명: 오공 - 보유수량: 4 - 매입금액:21600
[2020-07-15 08:34:17,949] I mystock.py | Kiwoom-appendData-0015 I DEBUG    > 종목코드: 045060 - 종목명: 오공 - 보유수량: 4 - 매입금액:21600
[2020-07-15 08:34:18,967] I tr.py | Kiwoom-requestNotConcludedAccount-0227 I DEBUG    > 미체결 종목 요청
[2020-07-15 08:34:18,994] I slot.py | Kiwoom-receiveMsgSlot-0065 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2020-07-15 08:34:19,179] I tr.py | Kiwoom-receiveConditionNameList-0157 I DEBUG    > 호출 성공 여부 1, 호출결과 메시지 [OK] 사용자 조건검색식 읽기
[2020-07-15 08:34:19,183] I tr.py | Kiwoom-receiveConditionNameList-0159 I DEBUG    > HTS의 조건검색식 이름 가져오기 000^단타급등주;001^이평선돌파급등주;002^눌림목돌파;003^거래량상위볼리저상향선하향돌파;004^거래량상위볼린저하한선상향;005^거래량급등주;
[2020-07-15 08:34:19,184] I condition.py | Kiwoom-conditionNameListToConditionDataFrame-0017 I DEBUG    > 조건식 분리 번호: 0, 이름: 단타급등주
[2020-07-15 08:34:19,187] I condition.py | Kiwoom-conditionNameListToConditionDataFrame-0017 I DEBUG    > 조건식 분리 번호: 1, 이름: 이평선돌파급등주
[2020-07-15 08:34:19,189] I condition.py | Kiwoom-conditionNameListToConditionDataFrame-0017 I DEBUG    > 조건식 분리 번호: 2, 이름: 눌림목돌파
[2020-07-15 08:34:19,192] I condition.py | Kiwoom-conditionNameListToConditionDataFrame-0017 I DEBUG    > 조건식 분리 번호: 3, 이름: 거래량상위볼리저상향선하향돌파
[2020-07-15 08:34:19,195] I condition.py | Kiwoom-conditionNameListToConditionDataFrame-0017 I DEBUG    > 조건식 분리 번호: 4, 이름: 거래량상위볼린저하한선상향
[2020-07-15 08:34:19,197] I condition.py | Kiwoom-conditionNameListToConditionDataFrame-0017 I DEBUG    > 조건식 분리 번호: 5, 이름: 거래량급등주
[2020-07-15 08:34:47,926] I slot.py | Kiwoom-receiveLoginSlot-0042 I DEBUG    > 로그인 처리결과 ('OP_ERR_NONE', '정상처리')
[2020-07-15 08:34:47,928] I tr.py | Kiwoom-receiveAccountNum-0035 I DEBUG    > 계좌번호: 8138832611
[2020-07-15 08:34:47,976] I slot.py | Kiwoom-receiveMsgSlot-0065 I DEBUG    > 스크린: 1000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-07-15 08:34:47,978] I tr.py | Kiwoom-receiveDeposit-0045 I DEBUG    > 예수금 8277427
[2020-07-15 08:34:48,047] I slot.py | Kiwoom-receiveMsgSlot-0065 I DEBUG    > 스크린: 1000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-07-15 08:34:48,048] I tr.py | Kiwoom-receiveDeposit-0045 I DEBUG    > 예수금 8277427
[2020-07-15 08:34:48,116] I slot.py | Kiwoom-receiveMsgSlot-0065 I DEBUG    > 스크린: 1000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-07-15 08:34:48,117] I tr.py | Kiwoom-receiveTotalBuyMoney-0055 I DEBUG    > 총매입금액: 21600
[2020-07-15 08:34:48,118] I tr.py | Kiwoom-receiveTotalProfitLossMoney-0067 I DEBUG    > 총평가손익금액: -273
[2020-07-15 08:34:48,118] I tr.py | Kiwoom-receiveTotalProfitLossRate-0077 I DEBUG    > 총수익률: -1.26
[2020-07-15 08:34:48,119] I tr.py | Kiwoom-receiveMystock-0108 I DEBUG    > 종목코드: 045060 - 종목명: 오공 - 보유수량: 4 - 매입금액:21600
[2020-07-15 08:34:48,119] I mystock.py | Kiwoom-appendData-0015 I DEBUG    > 종목코드: 045060 - 종목명: 오공 - 보유수량: 4 - 매입금액:21600
[2020-07-15 08:34:49,133] I tr.py | Kiwoom-requestNotConcludedAccount-0227 I DEBUG    > 미체결 종목 요청
[2020-07-15 08:34:49,154] I slot.py | Kiwoom-receiveMsgSlot-0065 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2020-07-15 08:34:49,326] I tr.py | Kiwoom-receiveConditionNameList-0157 I DEBUG    > 호출 성공 여부 1, 호출결과 메시지 [OK] 사용자 조건검색식 읽기
[2020-07-15 08:34:49,332] I tr.py | Kiwoom-receiveConditionNameList-0159 I DEBUG    > HTS의 조건검색식 이름 가져오기 000^단타급등주;001^이평선돌파급등주;002^눌림목돌파;003^거래량상위볼리저상향선하향돌파;004^거래량상위볼린저하한선상향;005^거래량급등주;
[2020-07-15 08:34:49,332] I condition.py | Kiwoom-conditionNameListToConditionDataFrame-0017 I DEBUG    > 조건식 분리 번호: 0, 이름: 단타급등주
[2020-07-15 08:34:49,336] I condition.py | Kiwoom-conditionNameListToConditionDataFrame-0017 I DEBUG    > 조건식 분리 번호: 1, 이름: 이평선돌파급등주
[2020-07-15 08:34:49,340] I condition.py | Kiwoom-conditionNameListToConditionDataFrame-0017 I DEBUG    > 조건식 분리 번호: 2, 이름: 눌림목돌파
[2020-07-15 08:34:49,342] I condition.py | Kiwoom-conditionNameListToConditionDataFrame-0017 I DEBUG    > 조건식 분리 번호: 3, 이름: 거래량상위볼리저상향선하향돌파
[2020-07-15 08:34:49,345] I condition.py | Kiwoom-conditionNameListToConditionDataFrame-0017 I DEBUG    > 조건식 분리 번호: 4, 이름: 거래량상위볼린저하한선상향
[2020-07-15 08:34:49,347] I condition.py | Kiwoom-conditionNameListToConditionDataFrame-0017 I DEBUG    > 조건식 분리 번호: 5, 이름: 거래량급등주
[2020-07-15 08:40:01,093] I marketmaking.py | Kiwoom-receiveRealdataSlot-0051 I DEBUG    > 장 시작 전
[2020-07-15 08:41:00,991] I marketmaking.py | Kiwoom-receiveRealdataSlot-0051 I DEBUG    > 장 시작 전
